"Bill Clinton Discharged From Hospital After Suffering Infection", " Former President Bill Clinton was discharged from a hospital in California Sunday, the doctor overseeing his treatment said, after spending several days there with an infection that had spread to his bloodstream.// Former President Bill Clinton was discharged from a hospital in California Sunday, the doctor overseeing his treatment said, after spending several days there with an infection that had spread to his bloodstream.//Former President Bill Clinton, standing with his wife, Hillary, and doctors, after being discharged ... [+] from UC Irvine Medical Center October 17.//Clinton left UC Irvine Medical Center on Sunday and will return home to New York to recover there, Dr. Alpesh N. Amin, the chair of UC Irvine Medical Center’s Department of Medicine who oversaw the team of doctors treating Clinton, said in a statement.//The former president’s “fever and white blood cell count are normalized,” Amin said, and Clinton will finish a course of antibiotics at home.//When leaving the hospital, Clinton gave reporters a “thumbs up” when asked how he was feeling.//Clinton was in the hospital after contracting a urinary tract infection that spread to his bloodstream, also known as sepsis, CNN reported.//The ex-president was first admitted to the California hospital Tuesday after attending a Clinton Foundation in the state earlier in the week and reporting he wasn’t feeling well, according to CNN, though news of his hospitalization was first reported Thursday.//Clinton was in the ICU, but was reportedly there for privacy and security reasons rather than because he needed that level of care.//“On behalf of everyone at UC Irvine Medical Center, we were honored to have treated him and will continue to monitor his progress,” Amin said in a statement.//Clinton, 75, was previously in the hospital in 2004 for emergency heart bypass surgery and in 2010, when he had stents placed in his arteries after complaining of chest discomfort. His hospitalization this week was not related to his heart issues, CNN reported, and was also not at all related to Covid-19.//Former President Bill Clinton Hospitalized For ‘Non-Covid-Related Infection’ (Forbes)//Bill Clinton Will Stay Hospitalized Overnight — But Health ‘Trending In The Right Direction’ (Forbes)//", 6.4%
"Bill Clinton Will Stay Hospitalized Overnight — But Health ‘Trending In The Right Direction’", "Former President Bill Clinton’s health is “trending in the right direction” three days after he was admitted to a California hospital with an infection, his spokesperson said Friday, but he will remain in the hospital overnight to receive antibiotics. //Former President Bill Clinton’s health is “trending in the right direction” three days after he was admitted to a California hospital with an infection, his spokesperson said Friday, but he will remain in the hospital overnight to receive antibiotics. //Former President Bill Clinton speaks at The Clinton Global Initiative Winter Meeting on February 4, ... [+] 2016 in New York City.//Clinton’s white blood cell count — which often spikes during an infection — has “decreased significantly,” spokesperson Angel Ureña tweeted Friday evening.//The 75-year-old former president will stay in the hospital for another night so he can take IV antibiotics, a course of treatment his doctors announced Thursday evening.//“President Clinton continues to be in excellent spirits, and is deeply grateful for the outstanding care he is receiving and the well wishes that people have sent from across America and around the world,” Ureña wrote.//Clinton was admitted to University of California Irvine Medical Center in southern California on Tuesday, for what Ureña described as a “non-Covid-related infection.” His ailment began as a urinary tract infection but later spread to his blood, CNN and other outlets reported. His doctors said Thursday he’s responded well to intravenous antibiotics, and they “hope to have him go home soon.”//President Joe Biden said earlier Friday he’s exchanged phone calls with Clinton. “He seems to be, god-willing, doing well,” the president said at a speech in Connecticut.//", 10.7%
"Former President Bill Clinton Hospitalized For ‘Non-Covid-Related Infection’", "Former President Bill Clinton was hospitalized at the University of California Irvine Medical Center with an infection, his spokesperson said on Thursday, noting that his condition was not related to Covid and the 75-year-old is now recovering.//Former President Bill Clinton was hospitalized at the University of California Irvine Medical Center with an infection, his spokesperson said on Thursday, noting that his condition was not related to Covid and the 75-year-old is now recovering.//Former President Bill Clinton was admitted to a hospital in California earlier this week after a ... [+] urinary tract infection spread to his bloodstream.//According to CNN, Clinton was admitted to the hospital’s intensive care unit on Tuesday after a urinary tract infection spread to his bloodstream.//The doctors treating the former president told CNN that he was in the ICU for privacy and safety reasons and did not need intensive care.//Clinton is currently being treated with intravenous antibiotics, which will be given to him until Friday after which he will likely switch to oral antibiotics, the report added. //In a statement issued on Twitter, Clinton’s spokesperson Angel Ureña confirmed the report, adding that he was “on the mend and in good spirits.”//The former president was in California earlier this week to attend an event for his nonprofit Clinton Foundation and was reportedly taken to the hospital after complaining that he wasn’t feeling well.//Clinton’s doctors Alpesh Amin and Lisa Bardack said in a statement on Thursday night that the former president was responding well to his treatments. “He was admitted to the hospital for close monitoring and administered IV antibiotics and fluids. He remains at the hospital for continuous monitoring. After two days of treatment, his white blood cell count is trending down and he is responding to antibiotics well.” The doctors said they have been in contact with Clinton’s New York-based medical team and added: “We hope to have him go home soon.”//Clinton has previously faced health issues related to his heart. In 2004, Clinton underwent quadruple bypass heart surgery and had stents placed in an artery in 2010. His current hospitalization, however, is not related to his prior cardiovascular issues, the doctors told CNN.//Former President Bill Clinton hospitalized for infection but 'on the mend' (CNN)//Former president Bill Clinton hospitalized for ‘non-Covid-related infection’ (Washington Post)//", 5.1%
"Bill Clinton Is Launching A Podcast With iHeartMedia", " Former President Bill Clinton is partnering with iHeartMedia to launch a podcast set to air in 2021, the Clinton Foundation told Forbes. // Former President Bill Clinton is partnering with iHeartMedia to launch a podcast set to air in 2021, the Clinton Foundation told Forbes. //Former President Bill Clinton on stage during "An Evening with President Bill Clinton and former ... [+] Secretary of State Hillary Rodham Clinton" on May 02, 2019 in Vancouver, Canada. //Craig Minassian, the chief communications and marketing officer for the Clinton Foundation, told Forbes the podcast is inspired by Clinton’s belief that “the purpose of his work in public service is to give people the opportunity to live their best life story.” //The Clinton Foundation is a partner in the new podcast, which will build on one that Clinton hosted last year for the foundation, a source familiar with the plans told Deadline.//The Clinton Foundation’s podcast Why Am I Telling You This? featured daughter Chelsea Clinton as a host and had high-profile guests including Justice Ruth Bader Ginsburg and former President George W. Bush. //It will air on the iHeartMedia Podcast Network, which the company says had more than 26.2 million listeners in August, making it one of the leading commercial podcast publishers.//Clinton will join former Secretary of State and First Lady Hillary Clinton, who has a podcast set to air on the iHeartMedia Podcast Network this year, according to Politico.//The financials of the deal were not disclosed; iHeartMedia and the Clinton Foundation did not immediately respond to Forbes’ request to comment.//Like many former presidents, Clinton wrote an autobiography after leaving office, earning a $10 million advance from Knopf for it. He’s gone on to write four other books, including two with best-selling author James Patterson. //Former First Lady Michelle Obama launched “The Michelle Obama Podcast” on Spotify on July 29. It was the first podcast to come out of last year’s Spotify deal with the Obamas’ production company Higher Ground Productions.//Former President Bill Clinton To Launch Podcast For iHeartMedia (Deadline)//Coming to a podcast near you: Hillary Clinton (Politico)//Michelle Obama Is Launching A Podcast On Spotify (Forbes)//", 4.7%
"Photos Of Bill Clinton And Bernie Sanders At Biden Inauguration Make The Rounds On Social Media", "This photo of Bernie Sanders trended on social media following Biden's inauguration (Photo by ... [+] Brendan SMIALOWSKI / AFP) (Photo by BRENDAN SMIALOWSKI/AFP via Getty Images)//This photo of Bernie Sanders trended on social media following Biden's inauguration (Photo by ... [+] Brendan SMIALOWSKI / AFP) (Photo by BRENDAN SMIALOWSKI/AFP via Getty Images)//It is still unclear if President Joe Biden will truly be able to unify such a deeply divided country. Yet, no matter which side of the aisle you are on, you'd have to admit that on Wednesday there was still some humor to be found based on what was posted on social media from the inauguration. //There were countless photos that circulated on Twitter of the newly sworn in President Biden on Wednesday afternoon, but a few that trended on social media weren't of either President Biden or Vice President Kamala Harris. //Instead, a former president and a former presidential hopeful may have stolen the spotlight.//Wake Up Bill//First there were the photos of President Bill Clinton apparently nodding off during Biden's speech.//@mayorofohio420 was among those who quickly tweeted, "LMAO BILL CLINTON’S SLEEPING DURING BIDEN’S SPEECH"//@STFguitar added, "Somebody wake bill Clinton. Dudes sleeping through another inauguration like it's September or something"//@mrsmehta was spot-on with the snarky dig, "What's the deal? Either he's sleepy or sleeping around!"//Even the official Twitter account of British tabloid The Daily Mail (@DailyMail) took aim at President 42, "Bill Clinton appears to FALL ASLEEP during Biden inauguration"//Sanders Alone//Then there was the photo of Sen. Bernie Sanders (I-Vermont) sitting alone with his legs cross, looking to be his jovial self. Many on Twitter and Facebook quickly noted that he was certainly taking social distancing seriously while he was of course mocked endlessly.//@jacobinmag suggested, "when centrism is too much."//The democratic socialist from Vermont was lightheartedly teased for sitting apparently alone while trying to stay warm. Even the People for Bernie (@People4Bernie) got in on the act, posting, "Caption contest"//However, one caption that might not have been so appreciated came from @BanquoDyar, which read, "When you have less friends in DC than Ted Cruz."//Nicolas Heller (@NuevaYorkNico) showed off his Photoshop skills and posted edited photos of Sanders to great effect, "I'm once again asking for some hand warmers. (Made by me and @naomiotsu)"//@ExResurgam took it even further, promoting Sen. Sanders' platform showing an edited photo with the lawmaker at a "Medicare For All" sign up table.//@HistoryMuppet also used Photoshop and put Sanders in the balcony from The Muppets Show standing in for heckler Statler alongside equally snide Waldorf, with the spot on caption, "If I wanted to sit and watch a bunch of bad routines, I'd go back to congress!"//@Bloodyj4ck not only mocked the photo, but called out the cost of the clothing worn by the democratic socialist at Wednesday's event, "to much drip" suggesting an outfit that could have set back the Senator upwards of around $2,500 – but it is likely the ensemble cost far less.//Then there was pop culture outlet Vulture (@vulture), which took aim at Sanders' posture and his choice of mittens, "The post. The mittens. The social distance."//However there was actually a bit more to the story about Sanders' mittens, according to BuzzFeed political reporter Ruby Cramer (@rubycramer), who tweeted, "Bernie's mittens are made by Jen Ellis, a teacher from Essex Junction, Vt. She gave them to him 2+ years ago and was surprised when he began wearing them on the campaign trail. They are made from repurposed wool sweaters and lined with fleece made from recycled plastic bottles."//These tweets may not do much to heal, but it showed that many could find humor at a time when we could all use a laugh.//", 9.8%
"Report: Bill Clinton And Ghislaine Maxwell Had A ‘Secret Dinner’ In 2014", "Former President Bill Clinton had a hush-hush dinner at a Los Angeles restaurant in 2014 at which one of his guests was Ghislaine Maxwell, who allegedly recruited underage girls for Jeffrey Epstein, according to a report from The Daily Beast, which raises more questions about Clinton’s connections with Epstein following the publication last month of pictures showing the president receiving a massage from an alleged Epstein victim.//Former President Bill Clinton had a hush-hush dinner at a Los Angeles restaurant in 2014 at which one of his guests was Ghislaine Maxwell, who allegedly recruited underage girls for Jeffrey Epstein, according to a report from The Daily Beast, which raises more questions about Clinton’s connections with Epstein following the publication last month of pictures showing the president receiving a massage from an alleged Epstein victim.//Former President Bill Clinton, left, and Ghislaine Maxwell. //Maxwell was on the guest list for a dinner at vegan hotspot Crossroads Kitchen on February 27, 2014, according to the Beast, along with tech CEO Scott Borgerson, Maxwell’s reported boyfriend at the time.//Democratic donor and Clinton friend Steve Bing—who died by suicide earlier in 2020—was also in attendance, according to the Beast, along with former Clinton staffers who reportedly said they hadn’t met Maxwell or had no recollection of her at the dinner.//Clinton’s team argued over whether to extend an invitation to Maxwell, the Beast reported, citing unnamed sources, because at the time, at least one alleged victim had accused Maxwell of recruiting underage girls for Epstein’s sex ring.//Maxwell had reportedly been cut out of Clinton’s social circle in 2011, according to the report, but was somehow reinstated by 2014, when deputy chief of staff Jon Davidson supposedly organized the dinner. //The Beast said Clinton had six or seven guests at the dinner and described it as intimate; a Clinton spokesperson said there were 20 guests.//Representatives for Maxwell did not respond to requests for comment by Forbes; Clinton spokesman Angel Urena told Forbes that the former president has not been accused of any wrongdoing.//“Think of all the people [Clinton] knows in L.A., and Ghislaine gets to attend,” an anonymous source told the Beast about the dinner//Questions have swirled around Clinton’s connection to Epstein since the disgraced financier was arrested on federal sex trafficking charges in July 2019. Those questions intensified after Epstein died of suicide in a Manhattan lockup one month later. In a 2019 statement, Clinton told Forbes he “knows nothing about the terrible crimes Jeffrey Epstein pleaded guilty to in Florida some years ago,” in reference to Epstein’s much-maligned 2008 plea deal brokered by former Secretary of Labor Alexander Acosta, who was a U.S. attorney at the time. Clinton also said in his statement he was never at Epstein’s private island in the U.S. Virgin Islands, although court records released July 31 from a settled defamation lawsuit between Maxwell and alleged victim Virginia Giuffre say Maxwell flew on a helicopter with Clinton to the island. And, on August 18, British tabloid The Daily Mail published photos of Clinton appearing to receive a neck massage from alleged Epstein victim Chauntae Davies in 2002, who was 22 at the time. The photos appeared just hours before Clinton’s speech at the Democratic National Convention, raising eyebrows as to the timing of their release. Maxwell has been held in a Brooklyn federal prison since her July arrest on charges of enticing and transporting minors as part of Epstein’s alleged sex ring and committing perjury during her 2016 depositions that are part of the Giuffre defamation case. Maxwell entered a not guilty plea, and her trial is slated to begin in July 2021.//President Trump socialized with Epstein in the 1990s and early 2000s, although he quickly distanced himself following Epstein’s 2019 arrest. Trump had kinder words for Maxwell after she was arrested and charged this year, saying “I wish her well” during a July 22 White House press conference. //Revealed: Bill Clinton’s Intimate Secret Dinner With Ghislaine Maxwell (The Daily Beast)//Photos Allegedly Show Bill Clinton Receiving Massage From Jeffrey Epstein Accuser (Forbes)//Here’s Every Time Donald Trump And Ghislaine Maxwell Have Been Photographed Together (Forbes)//Ghislaine Maxwell Records Trove Names Jeffrey Epstein, Alan Dershowitz—And More Documents Could Be Released (Forbes)//", 2.8%
"‘The Buck Never Stops There’: Bill Clinton Tears Into Trump’s ‘Chaos’ Presidency", "Former President Bill Clinton offered the most scathing criticism on the night of President Trump at the Democratic Convention, tearing into his coronavirus response, his handling of the economy and his overall ability to do the job.//Former President Bill Clinton offered the most scathing criticism on the night of President Trump at the Democratic Convention, tearing into his coronavirus response, his handling of the economy and his overall ability to do the job.//MILWAUKEE, WISCONSIN - AUGUST 18: Former U.S. President Bill Clinton delivers a speech by video feed ... [+] as Democratic National Committee Chairman Tom Perez watches from the podium during the second night of the virtual 2020 Democratic National Convention at its hosting site on August 18, 2020 in Milwaukee, Wisconsin. Once expected to draw 50,000 people to Milwaukee, the convention is now taking place virtually due to the coronavirus (COVID-19) pandemic. (Photo by Brian Snyder-Pool/Getty Images)//Clinton kicked off his speech by calling presidential elections “the world’s most important job interview,” telling voters, “you have to decide whether to renew his contract or hire someone else.”//"If you want a president who defines the job as spending hours a day watching TV and zapping people on social media, he's your man,” Clinton said of Trump.//Clinton took particular aim at Trump’s response to the coronavirus outbreak, excoriating him for saying the virus would “disappear,” going on television “bragging about how he was doing,” ignoring expert advice and finally saying “it is what it is.”//“The buck never stops there,” Clinton said, referring to a mantra started by President Harry Truman about the president’s obligation to be accountable.//Clinton praised Biden as a “go-to-work president” and a “down-to-earth, get-the-job done guy,” who “helped bring us back from a recession” who is “committed to building America back again.”//“You know what Donald Trump will do with four more years: blame, bully, and belittle. And you know what Joe Biden will do: build back better,” Clinton concluded. “It’s Trump’s ‘Us vs. Them’ America against Joe Biden’s America, where we all live and work together. It’s a clear choice. And the future of our country is riding on it.”//Clinton’s speech came just hours after photos of him appearing to receive a back massage from Chauntae Davies, one of dead financier Jeffrey Epstein’s alleged sex trafficking victims, surfaced. Alleged Epstein recruiter Ghislaine Maxwell urged Davies to give Clinton the massage, according to the Daily Mail, which first reported the photos. However, Davies told the Mail there was “no foul play,” and that Clinton was a “perfect gentleman.”//Though Donald Trump Jr. and other Republicans were quick to seize on the photos before the speech, President Trump took aim at Clinton after the speech for citing the high number of coronavirus cases in the U.S. “Tell the Dems that we have more Cases because we do FAR more Testing than any other Country,” Trump tweeted, repeating an argument repeatedly debunked by experts.//44%. That’s the percent of Democrats who said they would not like to hear Clinton speak in a YouGov/CBS News poll released Sunday. That’s second only to former Ohio Gov. John Kasich, a Republican who has been slammed by some Democrats for his views on abortion and unions.//Correction: An earlier version of this article misstated Jeffrey Epstein's wealth. He was not a billionaire. The earlier version also misspelled Chauntae Davies’ name. This story has been updated.////", 3.4%
"Photos Allegedly Show Bill Clinton Receiving Massage From Jeffrey Epstein Accuser", "Hours ahead of former President Bill Clinton’s appearance at the Democratic National Convention, the Daily Mail published photos Tuesday that show Clinton apparently receiving a neck massage from alleged Jeffrey Epstein victim Chauntae Davies following a previously-reported flight that Clinton and Epstein took to Africa together in 2002, with Davies telling the Mail that Clinton was a "perfect gentleman" on the trip.//Hours ahead of former President Bill Clinton’s appearance at the Democratic National Convention, the Daily Mail published photos Tuesday that show Clinton apparently receiving a neck massage from alleged Jeffrey Epstein victim Chauntae Davies following a previously-reported flight that Clinton and Epstein took to Africa together in 2002, with Davies telling the Mail that Clinton was a "perfect gentleman" on the trip.//Photos reportedly showing former President Bill Clinton getting a massage from one of Jeffrey ... [+] Epstein's alleged victims have resurfaced questions about his ties to the dead, disgraced financier. //The two photos show Davies, 22 at the time, giving Clinton a neck rub while he sits in what looks like an airport lounge chair.//According to the Daily Mail, alleged Epstein recruiter Ghislaine Maxwell—currently being held in a Brooklyn jail on federal sex trafficking and perjury charges—insisted that Davies give Clinton the massage after his neck became stiff from a flight on Epstein’s private jet, since nicknamed the Lolita Express.//Davies reportedly told the Daily Mail that Clinton was a “perfect gentleman” during the trip and that she saw “no foul play”; Clinton told Forbes last year that he knew “nothing about the terrible crimes Jeffrey Epstein pleaded guilty to in Florida some years ago.”//The publication of the photos came just hours before Clinton is set to endorse Biden during Tuesday night’s virtual DNC, once again raising questions about his ties to Epstein, who died in August 2019 while awaiting trial for federal sex trafficking charges.//Representatives for Clinton, Maxwell and Davies did not respond to requests to confirm the photos’ authenticity by Forbes. //Donald Trump Jr. tweeted a link to the Daily Mail article, and suggested that if Clinton brought it up during his Tuesday DNC speech, it “would be a lot more interesting then garbage we saw last night.” His father, President Trump, was also once friendly with Epstein and Maxwell. After Epstein’s 2019 arrest, however, Trump said he had not spoken to Epstein in over a decade.//The 2002 Africa flight, the New York Times reported last year, was made by Clinton to discuss economic development on the continent, along with the fight against HIV and AIDS. Comedian Chris Tucker and actor Kevin Spacey were also along for the ride. A Clinton Foundation spokesperson told the Times that the former president took four trips on Epstein’s plane, and all were connected to his nonprofit work. Unverified records suggest Clinton has flown at least 26 times on Epstein’s private plane, according to the Times. Davies has accused Epstein of sexual assault and abuse, and she was one of his alleged victims to speak out in court following his August 2019 suicide. Maxwell faces charges of enticing and transporting minors as part of Epstein’s alleged sex ring, along with committing perjury during 2016 depositions in a defamation case brought against her by another alleged Epstein victim, Virginia Giuffre. Maxwell entered a not guilty plea and denied all previous allegations. Her trial is scheduled to begin in July 2021.//Epstein owned a painting of Clinton wearing a blue dress and high heels.//Bill Clinton leans back and smiles while receiving neck massage from Epstein victim (The Daily Mail)//New photos show Bill Clinton getting massage from Epstein accuser (New York Post)//Ghislaine Maxwell Records Trove Names Jeffrey Epstein, Alan Dershowitz—And More Documents Could Be Released (Forbes)//Jeffrey Epstein’s Dark Façade Finally Cracks (Forbes)//", 4.5%
"The Lessons From Bill Clinton’s Impeachment: Markets Are Better Learners Than Politicians", "In an essay entitled “Passions, Politics and the Removal of a President: Lessons Learned from the Impeachment of President Clinton,” which appeared in Grove City College’s Journal of Law & Public Policy, former Deputy Attorney General Paul McNulty tried to share what he and other Republicans learned from President William Jefferson Clinton’s impeachment in the late 1990s. After we are done with President Donald John Trump’s impeachment, perhaps McNulty will have a follow-up article on “lessons not learned.” In case he does not get to it, here is a short attempt. //In an essay entitled “Passions, Politics and the Removal of a President: Lessons Learned from the Impeachment of President Clinton,” which appeared in Grove City College’s Journal of Law & Public Policy, former Deputy Attorney General Paul McNulty tried to share what he and other Republicans learned from President William Jefferson Clinton’s impeachment in the late 1990s. After we are done with President Donald John Trump’s impeachment, perhaps McNulty will have a follow-up article on “lessons not learned.” In case he does not get to it, here is a short attempt. //Hon. Paul McNulty reflected on the lessons learned from Clinton's impeachment in an essay in the ... [+] Journal of Law & Public Policy of Grove City College. Picture from a past Congressional discussion (Photo By Douglas Graham/Roll Call/Getty Images)//Before joining the Department of Justice and later becoming President of Grove City College, McNulty worked in the House of Representatives for ten years, including as Chief Counsel and Director of Legislative Operations for House Majority Leader Henry Hyde. He served as Chief Counsel and Director of Communications for the Clinton impeachment proceedings. //Numerous scholars and pundits have argued that, ideally, presidential impeachments should not be partisan efforts. Nevertheless, just Henry Hyde decided to go ahead with the process against Bill Clinton, Nancy Pelosi decided to go forward with impeachment against Donald Trump despite near-unanimous opposition from President Trump’s party. It is clear now that the main lesson McNulty wanted to teach in his article was not heeded: “Congressional leaders should follow the example set by Henry Hyde and steadfastly avoid appearing to use impeachment to settle political scores or damage the president’s standing with the American public.”//For Henry Hyde, the question was Clinton’s “lying under oath.” As he said, “Perjury and obstruction of justice cannot be reconciled with the office of the President of the United States.” In Trump’s case, the charges are abuse of power and obstruction of justice. I will not go into the case as readers of this publication have plenty of other writers and articles at their disposal. I will just note a few political and economic aspects.//Given the political nature of the impeachment, both sides have been anxious to find any sign or trend in public opinion in order to maximize the political gains of their decisions. By contrast, there has not been a strong tide either way in public opinion. I follow Western newspapers and magazines, but given the widely held opinion that the end result would be acquittal, news about the impeachment did not garner much attention. Foreigners can recall the results of the Clinton impeachment so, therefore, the current impeachment does not affect most of them enough to warrant spending much time or thought on what, for them, is a non-topic.  The subtitle of the latest Economist piece on impeachment (January 25, 2020) reads: “In the fight between Donald Trump and impeachment, impeachment is coming off worse.” Readers will note The Economist seldom has anything good to say about President Trump or his policies. //Given the performance of the economy under President Trump, including record low unemployment and rising incomes for the middle class and the poorer segments of the economy, one can imagine several Democrats being convinced that they had little to lose by trying the impeachment route. Some saw it as the only way to defeat Trump in 2020, if not by removal then at least by weakening his candidacy. Although there are many differences between the famous “blue dress” and the transcripts of Trump’s phone call, the recent discussions about John Bolton’s book – and the potential of calling Bolton, Hunter Biden, and others as witnesses – have created a climate similar to the one that existed when Congress was debating whether to release the Starr report. //No more time for laughs? Picture from August 20, U.S. President Donald Trump speaks to members of ... [+] the media as National Security Adviser John Bolton listens during a meeting with President of Romania Klaus Iohannis in the Oval Office of the White House August 20, 2019 in Washington, DC. (Photo by Alex Wong/Getty Images)//Starr’s lengthy report contained salacious material and many did not want it released. Nevertheless, as some of us recall and as McNulty writes, “Speaker of the House Newt Gingrich and senior Democrats” decided to release it. Some were baffled that the Democrats wanted the report to be released. Many were likewise surprised that President Trump released the transcript of the phone call which was the basis of the current impeachment. Some legislators considered having Monica Lewinsky testify in order to shift public opinion but, as McNulty writes, decided not to, as “they judged it would be an undignified spectacle.”//Early last year, Paul J. McNulty reflected on his experience during the impeachment of President ... [+] Clinton, in Volume 10 of the Journal of Law and Public Policy of Grove City College //As the goal now seems to be how best to sway voters in the 2020 elections, all these calculations about what to release or what further witnesses to call, if any, become more relevant with regard to swing districts and independent swing voters. Most Democrats and Republicans are already set in their views regarding impeachment, so all eyes go to how voters in these districts are reacting to the latest news.   //McNulty concludes his piece with a quote from a Democrat on the House Judiciary Committee: “The impeachment of a President was reserved by the Framers of the Constitution for only the most severe threats against the nation and our system of government. It exists as a remedy to prevent the President from becoming a tyrant. It should not be used for mere partisan purposes to overturn the will of the people as expressed in two national elections.” //In Trump’s case, the large majority of Republicans see the impeachment as an effort to overturn one, or perhaps two, national elections. Some Democratic legislators have hinted that if Trump wins and they continue to control the House of Representatives, they will continue to impeach the president.//In these columns I usually focus on policy and the economy, but I have frequently mentioned how, although it is hard to measure, the battle of the entrenched bureaucracy and special interests against President Trump and his policies creates uncertainty and have a negative impact on investment decisions. What can create more uncertainty than impeachment? //The impeachment, however, did not come as a surprise: Soon after the Republicans lost Congress in 2018, many in the administration were bracing for it. I recall an off-the-record presentation at that time by chief-of-staff Mick Mulvaney where he mentioned that he too, like McNulty, had seen the Clinton impeachment process from the inside and saw that “if we did it to them, they will do it to us.” //Stock market and economy performance during the impeachment inquiry and trial of President Donald ... [+] Trump//Throughout all this process, however, the stock market has not shown any pattern of reaction at any step of the impeachment process. The Dow Jones is now 6.7% higher than when the impeachment inquiry started on September 24, 2019. It was even higher on January 15 and January 22, 2020, when Congress delivered the articles of impeachment and the Senate initiated the trial. Stocks have reacted to the coronavirus, trade battles, interest rate changes, and so on – but not to impeachment news and revelations. GDP growth has remained almost unchanged during these last three quarters. Almost no one is readjusting investment portfolios expecting that the impeachment will end with removal and a potential reversal of economic policies. //It seems that the markets, unlike politicians, learned the lessons from Clinton’s impeachment. The market expected something and knows how it will end. The final word should come with the next presidential elections – but those of us who have studied history know that nothing guarantees that politicians will not make the same mistakes twice. //", 4.9%
